
 NCe$Z (MAGNETIZATION AND ZEEMAN)    
 AL=  -1.9990	GJ=   0.8571
 FI=   0. TETA=  90.

  X(J)  -525.40002   -60.10000     0.00000     0.00000     0.00000     0.00000   764.40002     0.00000     0.00000
   385.000000       1092.89648       386.951782    
   386.000000       1093.10681       387.998779    
   387.000000       1093.32483       389.046234    
   388.000000       1093.54895       390.094055    
   389.000000       1093.77551       391.142212    
   390.000000       1094.01111       392.190765    
   391.000000       1094.25049       393.239716    
   392.000000       1094.49146       394.288971    
   393.000000       1094.74158       395.338654    
   394.000000       1094.98755       396.388672    
   395.000000       1095.24927       397.439087    
   396.000000       1095.51135       398.489838    
   397.000000       1095.77539       399.540985    
   398.000000       1096.04285       400.592468    
   399.000000       1096.31799       401.644257    
   400.000000       1096.59937       402.696472    
   401.000000       1096.88574       403.749023    
   402.000000       1097.17395       404.801880    
   403.000000       1097.46631       405.855133    
   404.000000       1097.76392       406.908752    
   405.000000       1098.06628       407.962708    
   406.000000       1098.37415       409.016998    
   407.000000       1098.68311       410.071594    
   408.000000       1098.99841       411.126617    
   409.000000       1099.31848       412.181915    
   410.000000       1099.63928       413.237518    
   411.000000       1099.96912       414.293488    
   412.000000       1100.29846       415.349792    
   413.000000       1100.63708       416.406464    
   414.000000       1100.97864       417.463379    
   415.000000       1101.32190       418.520721    
   416.000000       1101.67078       419.578369    
   417.000000       1102.02112       420.636230    
   418.000000       1102.37927       421.694550    
   419.000000       1102.73816       422.753113    
   420.000000       1103.10046       423.812042    
   421.000000       1103.46826       424.871246    
   422.000000       1103.83972       425.930756    
   423.000000       1104.22095       426.990631    
   424.000000       1104.59961       428.050781    
   425.000000       1104.97839       429.111267    
   426.000000       1105.36804       430.171967    
   427.000000       1105.75525       431.233124    
   428.000000       1106.15173       432.294464    
   429.000000       1106.55225       433.356171    
   430.000000       1106.95483       434.418121    
   431.000000       1107.35291       435.480438    
   432.000000       1107.76440       436.542969    
   433.000000       1108.17908       437.605835    
   434.000000       1108.59668       438.669067    
   435.000000       1109.01611       439.732513    
   436.000000       1109.43909       440.796234    
   437.000000       1109.86218       441.860291    
   438.000000       1110.29260       442.924622    
   439.000000       1110.72607       443.989197    
   440.000000       1111.16785       445.054077    
   441.000000       1111.60034       446.119263    
   442.000000       1112.04797       447.184723    
   443.000000       1112.49426       448.250458    
   444.000000       1112.94592       449.316498    
   445.000000       1113.39832       450.382721    
   446.000000       1113.85657       451.449310    
   447.000000       1114.31396       452.516083    
   448.000000       1114.77942       453.583282    
   449.000000       1115.24377       454.650604    
   450.000000       1115.71619       455.718201    
   451.000000       1116.18628       456.786102    
   452.000000       1116.66565       457.854248    
   453.000000       1117.14514       458.922729    
   454.000000       1117.62317       459.991394    
   455.000000       1118.10767       461.060425    
   456.000000       1118.59888       462.129547    
   457.000000       1119.08716       463.199036    
   458.000000       1119.58044       464.268799    
   459.000000       1120.08130       465.338745    
   460.000000       1120.58179       466.408936    
   461.000000       1121.08496       467.479431    
   462.000000       1121.58984       468.550140    
   463.000000       1122.09985       469.621124    
   464.000000       1122.61133       470.692322    
   465.000000       1123.12549       471.763733    
   466.000000       1123.64319       472.835510    
   467.000000       1124.16516       473.907410    
   468.000000       1124.68555       474.979523    
   469.000000       1125.21497       476.052002    
   470.000000       1125.74170       477.124634    
   471.000000       1126.27673       478.197510    
